url,name,proteins,fats,carbohydrates,calories,category,price,availability,average_rating,rating_count,imgUrl,description,pro/cal,pri/we,html_path,last_upd_time,content,weight,fetchErr
https://www.ozon.ru/product/mayonez-provansal-67-ozon-fresh-400-ml-1739790826/,"Майонез провансаль 67% Ozon fresh, 400 мл",0.30,67,2.80,620,"Ozon fresh#Молочное и яйца#Молоко, масло и яйца#Майонез#Ozon fresh",94,1,4.9,3661,https://cdn1.ozone.ru/s3/multimedia-1-u/7291584954.jpg,,0.0004838709677419355,0.25268817204301075,,2025-06-13 10:45:35,"Масло подсолнечное рафинированное дезодорированное, вода питьевая, сахар, соль пищевая, яичный желток, регулятор кислотности уксусная кислота, эфирное масло горчичное, краситель бета-каротин.",372,
https://www.ozon.ru/product/maslo-slivochnoe-traditsionnoe-82-5-175-g-selo-zelenoe-folga-355402652/,"Масло сливочное ""Традиционное"" 82,5% 175 г Село Зеленое, фольга",0.6,82.5,0.8,748,"Ozon fresh#Молочное и яйца#Молоко, масло и яйца#Масло, маргарин#Село Зеленое",242,1,4.9,6072,https://cdn1.ozone.ru/s3/multimedia-1-l/7538668509.jpg,"Масло традиционное «Село Зеленое» 82,5% — это уникальное классическое сливочное масло, изготовленное в соответствие с требованиями ГОСТ. Изготавливается только из натуральных сливок и проходит строжайший контроль качества на всех этапах производства.
Идеально для приготовления выпечки, кондитерских изделий, мясных блюд, бутербродов.",0.0008021390374331551,1.3828571428571428,,2025-06-13 10:45:35,,175,
https://www.ozon.ru/product/syr-legkiy-30-400-g-ozon-fresh-1665099150/,"Сыр Лёгкий 30% 400 г, Ozon fresh",32,17,0,280,Ozon fresh#Молочное и яйца#Сыры#Полутвердый#Ozon fresh,429,1,4.8,911,https://cdn1.ozone.ru/s3/multimedia-1-r/7170953235.jpg,"Идеальный продукт для тех, кто следит за своей фигурой, – в нем меньше калорий и жира, чем в обычных сортах сыра. В его основе – натуральное молоко высшего сорта и это сразу понятно по вкусу! Немецкая рецептура и технологии производства задали высокие стандарты качества. В составе только натуральные ингредиенты – в сыре нет искусственных добавок и растительных жиров. Этот продукт не только вкусный, но и полезный, ведь сыр прошел тщательное тестирование на качество и безопасность. Производитель сыра много заботится о качестве своего продукта – об этом говорят почетные награды и медали. Продукт отлично подойдет для тех, кто не может не дополнить любимое блюдо сырным вкусом.",0.11428571428571428,0,,2025-06-13 10:45:35,"Молоко обезжиренное пастеризованное, молоко цельное пастеризованное, соль пищевая (содержит агент антислеживающий Е536), закваска мезофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения, консервант – нитрат калия",,
https://www.ozon.ru/product/syr-slivochnyy-50-400-g-ozon-fresh-1665099199/,"Сыр Сливочный 50% 400 г, Ozon fresh",27,33,0,410,Ozon fresh#Молочное и яйца#Сыры#Полутвердый#Ozon fresh,429,1,4.9,1159,https://cdn1.ozone.ru/s3/multimedia-1-d/7170953221.jpg,"Это по-настоящему вкусный сыр, ведь в его основе – натуральное молоко высшего сорта. Немецкая рецептура и технологии производства задали высокие стандарты качества сыра – попробуйте это качество на вкус. В составе ничего лишнего – в сыре нет искусственных добавок и растительных жиров. Сыр прошел тщательное тестирование на качество и безопасность, поэтому этот продукт не только вкусный, но и полезный. Производитель сыра много заботится о качестве своего продукта – об этом говорят почетные награды и медали.",0.06585365853658537,0,,2025-06-13 10:45:35,,,
https://www.ozon.ru/product/tvorog-5-500-g-selo-zelenoe-448477928/,"Творог 5% 500 г, Село Зеленое",12,5,3,105,"Ozon fresh#Молочное и яйца#Кефир, творог и сметана#Традиционный творог 5%#Село Зеленое",261,1,5.0,29844,https://cdn1.ozone.ru/s3/multimedia-1-l/7498991469.jpg,"Творог Село Зеленое с сохраненной структурой зерна изготовлен из настоящего, свежего молока. Уникальная технология производства позволяет сохранить структуру зерна, благодаря чему творог остается сочным, имеет насыщенный сливочный вкус и сохраняет пользу витаминов. Творог прекрасно подходит не только для традиционного завтрака, но и в качестве добавки в салаты и десерты!",0.11428571428571428,0.522,,2025-06-13 10:45:35,"Молоко нормализованное, закваска на чистых культурах молочнокислых микроорганизмов",500,
https://www.ozon.ru/product/syr-myagkiy-burrata-50-150-g-ozon-fresh-1652238368/,"Сыр мягкий Буррата 50% 150 г, Ozon fresh",13,20,1,236,"Ozon fresh#Молочное и яйца#Сыры#Рассольный, копченый#Ozon fresh",269,1,4.9,1679,https://cdn1.ozone.ru/s3/multimedia-1-i/7348352490.jpg,"Масса нетто продукта 380 г, масса сыра без рассола 150 г",0.05508474576271186,0.7078947368421052,,2025-06-13 10:45:36,,380,
https://www.ozon.ru/product/syr-myagkiy-strachatella-50-200-g-ozon-fresh-1652238384/,"Сыр мягкий Страчателла 50% 200 г, Ozon fresh",10,20,2.50,230,"Ozon fresh#Молочное и яйца#Сыры#Рассольный, копченый#Ozon fresh",279,1,4.9,2425,https://cdn1.ozone.ru/s3/multimedia-1-t/7348352825.jpg,,0.043478260869565216,1.395,,2025-06-13 10:45:36,"молоко нормализованное пастеризованное, сливки ультрапастеризованные, соль пищевая, регулятор кислотности-лимонная кислота, молокосвёртывающий ферментный препарат микробного происхождения",200,
https://www.ozon.ru/product/syr-kamamber-myagkiy-s-beloy-plesenyu-45-125-g-president-149957728/,"Сыр Камамбер мягкий с белой плесенью 45% 125 г, President",17,19.5,0,244,"Ozon fresh#Молочное и яйца#Сыры#Мягкий, творожный#President",320,1,4.9,4049,https://cdn1.ozone.ru/s3/multimedia-1-u/7498991406.jpg,"Камамбер – это самый популярный сыр в семействе французских сыров с белой корочкой. Классический камамбер менее жирный по сравнению с бри, поэтому его текстура в конце срока годности более текучая. Соотношение плесневых культур в камамбере отличается от бри, что делает аромат этого сыра более выраженным.",0.06967213114754098,2.56,,2025-06-13 10:45:36,"молоко нормализованное, соль, закваска (термофильные и мезофильные молочнокислые микроорганизмы),  молокосвертывающий ферментный препарат микробного происхождения, поверхностная микрофлора (Penicillium Candidum, Geotrichum Candidum).",125,
https://www.ozon.ru/product/syr-myagkiy-strachatella-s-tryufelem-50-200-g-ozon-fresh-1652238362/,"Сыр мягкий Страчателла с трюфелем 50% 200 г, Ozon fresh",13,20,1,236,"Ozon fresh#Молочное и яйца#Сыры#Рассольный, копченый#Ozon fresh",319,1,4.8,954,https://cdn1.ozone.ru/s3/multimedia-1-u/7348354338.jpg,,0.05508474576271186,1.595,,2025-06-13 10:45:36,"молоко нормализованное пастеризованное, сливки ультрапастеризованные, соль пищевая, регулятор кислотности-лимонная кислота, соус трюфельный (грибы шампиньоны, масло оливковое, масло подсолнечное, трюфель чёрный летний, оливки чёрные, соль пищевая, ароматизаторы), молокосвёртывающий ферментный препарат микробного происхождения.",200,
https://www.ozon.ru/product/syr-myagkiy-burrata-s-sousom-pesto-50-150-g-ozon-fresh-1652238375/,"Сыр мягкий Буррата с соусом песто 50% 150 г, Ozon fresh",13,17,2.90,215.70,"Ozon fresh#Молочное и яйца#Сыры#Рассольный, копченый#Ozon fresh",289,1,4.8,857,https://cdn1.ozone.ru/s3/multimedia-1-7/7348354711.jpg,"Масса нетто продукта 380 г, масса сыра без рассола 150 г",0.0602688919796013,0.7605263157894737,,2025-06-13 10:45:37,"сыр (молоко нормализованное пастеризованное, сливки ультрапастеризованные, соль пищевая, регулятор кислотности- кислота лимонная, соус песто классический (базилик свежий зелёный, масло подсолнечное рафинированное дезодорированное, масло оливковое нерафинированное (extra virgin), ядра кедрового ореха, семечки подсолнуха, чеснок свежий, соль морская пищевая, кислота лимонная, крахмал кукурузный), фермент молокосвёртывающий микробного происхождения), фермент молокосвёртывающий микробного происхождения), рассол(вода питьевая, соль пищевая).",380,
