url,name,category,price,availability,average_rating,rating_count,imgUrl,description,content,pro/cal,pri/we,html_path,last_upd_time,weight,proteins,fats,carbohydrates,calories,fetchErr
https://www.ozon.ru/product/apelsin-1-kg-337279267/,Апельсин 1 кг,"Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Цитрусовые",140,1,4.9,5189,https://cdn1.ozone.ru/s3/multimedia-l/6085820349.jpg,"Апельсин, 1 кг",,0,0.14,,2025-06-13 10:44:35,1000,,,,,
https://www.ozon.ru/product/kartofel-1-kg-327110935/,Картофель 1 кг,"Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Картофель",177,1,4.9,6310,https://cdn1.ozone.ru/s3/multimedia-t/6468468893.jpg,"Картофель, 1 кг",Картофель,0,0,,2025-06-13 10:44:35,,,,,,
https://www.ozon.ru/product/tomaty-byche-serdtse-450-g-dagestan-1899458826/,"Томаты Бычье сердце 450 г, Дагестан","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Помидоры",179,1,4.8,386,https://cdn1.ozone.ru/s3/multimedia-1-6/7348456482.jpg,"Бычье сердце"" это крупный мясистый сорт помидоров. Имеет еле уловимый «теплый» аромат. Обладает сладковатым вкусом и насыщенным красным цветом кожуры. Прекрасно подходят для салатов и приготовления различных блюд.",,0,0,,2025-06-13 10:44:36,,,,,,
https://www.ozon.ru/product/banany-dlya-smuzi-0-4-1-kg-1062670571/,"Бананы для смузи, 0,4 - 1 кг","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Бананы",127,1,4.9,745,https://cdn1.ozone.ru/s3/multimedia-1-j/7347341395.jpg,"Бананы для смузи — это достаточно спелые бананы, которые имеют яркий вкус.",,0,0,,2025-06-13 10:44:36,,,,,,
https://www.ozon.ru/product/ogurtsy-kurazh-svezhie-i-hrustyashchie-500-g-1614531217/,"Огурцы ""Кураж"", свежие и хрустящие, 500 г","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Огурцы",121,1,4.9,2348,https://cdn1.ozone.ru/s3/multimedia-j/6326269675.jpg,,Огурцы,0,0.242,,2025-06-13 10:44:36,500,,,,,
https://www.ozon.ru/product/yabloki-karamelnye-500-g-rossiya-1595034278/,"Яблоки карамельные 500 г, Россия","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Яблоки, груши",117,1,4.8,12507,https://cdn1.ozone.ru/s3/multimedia-1-t/7544683613.jpg,Мелкий калибр,,0.00851063829787234,0.234,,2025-06-13 10:44:36,500,0.40,0.40,9.80,47,
https://www.ozon.ru/product/myata-svezhaya-50-g-326617218/,Мята свежая 50 г,"Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Зелень, пряные травы",167,1,4.9,1508,https://cdn1.ozone.ru/s3/multimedia-9/6326146509.jpg,"Мята свежая, 50 г",Мята свежая,0,3.34,,2025-06-13 10:44:37,50,,,,14,
https://www.ozon.ru/product/tomaty-cherri-kruglye-krasnye-250-g-eko-kultura-1062698334/,"Томаты черри круглые красные 250 г, ЭКО-культура","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Помидоры#ЭКО-культура",134,1,4.9,232,https://cdn1.ozone.ru/s3/multimedia-1-x/7513324629.jpg,"Красные томаты черри от ""ЭКО-культура"" отметят для себя ценители классического вкуса томатов черри. Плоды с интенсивным и выразительным сладким вкусом послужат не только ингрединтом для салатов и других  кулинарных шедевров, но и станут отменным самостоятельным блюдом. Томаты ""ЭКО-кульура"" произведены биологическим методом выращивания (экологически чистые овощи) экспертом производства тепличных овощей",Томаты свежие,0.05333333333333334,0.536,,2025-06-13 10:44:37,250,0.8,0.1,2.8,15,
https://www.ozon.ru/product/baklazhany-gladkie-600-g-425637858/,Баклажаны гладкие 600 г,"Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Кабачки, баклажаны",249,0,4.9,5055,https://cdn1.ozone.ru/s3/multimedia-1-w/7349610992.jpg,"Баклажаны, 600 г","Баклажаны, 600 г",0.049999999999999996,0,,2025-06-13 10:44:37,,1.2,0.1,4.5,24,
https://www.ozon.ru/product/mango-2190093451/, Манго,"Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Экзотические фрукты",229,1,4.6,19,https://cdn1.ozone.ru/s3/multimedia-1-3/7573063575.jpg,,Манго,0,0,,2025-06-13 10:44:37,,,,,,
